playID,playerID,team,frame_num,x,y,position,speed,acceleration,distance,direction,event
1,1,offense,0,81.01554870605469,14.72665023803711,player,0.0,0,0.0,0,
1,2,defense,0,74.82513427734375,12.733368873596191,player,0.0,0,0.0,0,
1,3,offense,0,80.97045135498047,34.9991569519043,player,0.0,0,0.0,0,
1,4,defense,0,69.42743682861328,19.29676055908203,player,0.0,0,0.0,0,
1,5,offense,0,79.85990142822266,33.20756530761719,player,0.0,0,0.0,0,
1,6,defense,0,77.87503051757812,24.725112915039062,player,0.0,0,0.0,0,
1,7,defense,0,75.06787872314453,24.521785736083984,player,0.19033652863490755,0,0.019033652863490756,0,
1,8,offense,0,83.65794372558594,23.533288955688477,qb,0.0,0,0.0,0,
1,9,defense,0,77.51353454589844,19.30582046508789,player,0.0,0,0.0,0,
1,10,offense,0,80.0274658203125,18.66669464111328,player,0.0,0,0.0,0,
1,11,offense,0,83.59412384033203,21.014829635620117,player,0.0,0,0.0,0,
1,12,defense,0,76.85971069335938,30.40510368347168,player,0.0,0,0.0,0,
1,13,defense,0,75.90516662597656,18.57752227783203,player,0.0,0,0.0,0,
1,14,defense,0,77.67337799072266,28.28490447998047,player,0.0,0,0.0,0,
1,15,defense,0,65.5380630493164,32.58534622192383,player,0.0,0,0.0,0,
1,16,offense,0,79.45670318603516,23.309852600097656,player,0.0,0,0.0,0,
1,17,defense,0,73.3213119506836,38.65406799316406,player,0.0,0,0.0,0,
1,18,offense,0,80.61312866210938,27.8692569732666,player,0.0,0,0.0,0,
1,19,defense,0,77.8397216796875,21.688724517822266,player,0.0,0,0.0,0,
1,20,offense,0,80.1865234375,22.69603729248047,player,0.0,0,0.0,0,
1,21,offense,0,80.31768035888672,21.286474227905273,player,0.0,0,0.0,0,
1,22,offense,0,80.16415405273438,26.21260643005371,player,0.0,0,0.0,0,
1,1,offense,1,81.01554870605469,14.72665023803711,player,0.0,0,0.0,0,
1,2,defense,1,74.82513427734375,12.733368873596191,player,0.0,0,0.0,0,
1,3,offense,1,80.97045135498047,34.9991569519043,player,0.0,0,0.0,0,
1,4,defense,1,69.42743682861328,19.29676055908203,player,0.0,0,0.0,0,
1,5,offense,1,79.85990142822266,33.20756530761719,player,0.0,0,0.0,0,
1,6,defense,1,77.87503051757812,24.725112915039062,player,0.0,0,0.0,0,
1,7,defense,1,75.06466674804688,24.50302505493164,player,0.19033652863490755,0,0.019033652863490756,0,
1,9,defense,1,77.51353454589844,19.30582046508789,player,0.0,0,0.0,0,
1,10,offense,1,80.0274658203125,18.66669464111328,player,0.0,0,0.0,0,
1,11,offense,1,83.59412384033203,21.014829635620117,player,0.0,0,0.0,0,
1,8,offense,1,83.65794372558594,23.533288955688477,qb,0.0,0,0.0,0,
1,12,defense,1,76.85971069335938,30.40510368347168,player,0.0,0,0.0,0,
1,13,defense,1,75.90516662597656,18.57752227783203,player,0.0,0,0.0,0,
1,14,defense,1,77.67337799072266,28.28490447998047,player,0.0,0,0.0,0,
1,15,defense,1,65.5380630493164,32.58534622192383,player,0.0,0,0.0,0,
1,16,offense,1,79.46058654785156,23.328353881835938,player,0.0,0,0.0,0,
1,17,defense,1,73.3213119506836,38.65406799316406,player,0.0,0,0.0,0,
1,18,offense,1,80.61312866210938,27.8692569732666,player,0.0,0,0.0,0,
1,19,defense,1,77.8397216796875,21.688724517822266,player,0.0,0,0.0,0,
1,20,offense,1,80.1865234375,22.69603729248047,player,0.0,0,0.0,0,
1,21,offense,1,80.31768035888672,21.286474227905273,player,0.0,0,0.0,0,
1,22,offense,1,80.16415405273438,26.21260643005371,player,0.0,0,0.0,0,
1,1,offense,2,81.01554870605469,14.72665023803711,player,0.0,0,0.0,0,
1,2,defense,2,74.82513427734375,12.733368873596191,player,0.0,0,0.0,0,
1,3,offense,2,80.97045135498047,34.9991569519043,player,0.0,0,0.0,0,
1,4,defense,2,69.42743682861328,19.29676055908203,player,0.0,0,0.0,0,
1,5,offense,2,79.85990142822266,33.20756530761719,player,0.0,0,0.0,0,
1,6,defense,2,77.87503051757812,24.725112915039062,player,0.0,0,0.0,0,
1,7,defense,2,75.06466674804688,24.50302505493164,player,0.19033652863490755,0,0.019033652863490756,0,
1,9,defense,2,77.51353454589844,19.30582046508789,player,0.0,0,0.0,0,
1,10,offense,2,80.0274658203125,18.66669464111328,player,0.0,0,0.0,0,
1,11,offense,2,83.59412384033203,21.014829635620117,player,0.0,0,0.0,0,
1,12,defense,2,76.85971069335938,30.40510368347168,player,0.0,0,0.0,0,
1,13,defense,2,75.90516662597656,18.57752227783203,player,0.0,0,0.0,0,
1,8,offense,2,83.65794372558594,23.533288955688477,qb,0.0,0,0.0,0,
1,14,defense,2,77.67337799072266,28.28490447998047,player,0.0,0,0.0,0,
1,15,defense,2,65.5380630493164,32.58534622192383,player,0.0,0,0.0,0,
1,16,offense,2,79.45670318603516,23.309852600097656,player,0.0,0,0.0,0,
1,17,defense,2,73.3213119506836,38.65406799316406,player,0.0,0,0.0,0,
1,18,offense,2,80.61312866210938,27.8692569732666,player,0.0,0,0.0,0,
1,19,defense,2,77.8397216796875,21.688724517822266,player,0.0,0,0.0,0,
1,20,offense,2,80.1865234375,22.69603729248047,player,0.0,0,0.0,0,
1,21,offense,2,80.31768035888672,21.286474227905273,player,0.0,0,0.0,0,
1,22,offense,2,80.16415405273438,26.21260643005371,player,0.0,0,0.0,0,
1,1,offense,3,81.01554870605469,14.72665023803711,player,0.0,0,0.0,0,
1,2,defense,3,74.82513427734375,12.733368873596191,player,0.0,0,0.0,0,
